Feature,Importance
RSI,0.06169390492141247
Return_10d,0.059119963087141514
MACD_Histogram,0.055534644052386284
Return_5d,0.05407216493040323
Return_1d,0.05376562289893627
Close_to_MA_20,0.05336611159145832
Close_to_MA_5,0.05329195410013199
ROC_10,0.05246669985353947
Close_to_MA_10,0.05218665208667517
ROC_20,0.05215004086494446
Close_to_MA_50,0.05194966308772564
Return_3d,0.05161014664918184
Return_20d,0.051366318948566914
MACD,0.05127726960927248
Volume_Ratio,0.05067720636725426
BB_Position,0.050208703614771366
ATR_Pct,0.04954506829380989
MACD_Signal,0.0484250346198678
ROC_5,0.047292791306972504
